id,type,long,trend,entry_i,entry_ts,entry,sl,tp,atr,exit_i,exit_ts,exit,reason,bars,gross,comm,net,pts,trail
1,TS,False,True,302,1720335600000,57646.16,57813.89282642233,57226.827933944194,279.554710703871,302,1720335600000,57226.827933944194,TP,0,41.93320660558093,2.8823080000000005,39.050898605580926,419.33206605580926,
2,TS,False,True,335,1720395000000,56437.11,56643.02118192737,55922.332045181574,343.1853032122848,335,1720395000000,55922.332045181574,TP,0,51.47779548184263,2.8218555000000003,48.65593998184263,514.7779548184262,
3,TL,True,True,435,1720575000000,57781.96,57575.43616381001,58298.26959047498,344.206393649988,440,1720584000000,58298.26959047498,TP,5,51.630959047497896,5.80401147952375,45.826947567974145,516.3095904749789,0.0
4,TL,True,True,483,1720661400000,57550.0,57358.79237544081,58028.01906139798,318.67937426531876,483,1720661400000,58028.01906139798,TP,0,47.80190613979794,2.8775,44.924406139797945,478.0190613979794,
5,TL,True,True,491,1720675800000,57755.22,57549.4304192723,58269.69395181926,342.98263454617137,494,1720681200000,58269.69395181926,TP,3,51.44739518192583,5.801245697590963,45.64614948433486,514.4739518192582,0.0
6,TS,False,True,568,1720814400000,57576.01,57789.90141630151,57041.28145924623,356.48569383584885,569,1720816200000,57576.01,BE,1,0.0,5.757601000000001,-5.757601000000001,0.0,0.0
7,TL,True,True,600,1720872000000,58534.0,58404.706454996245,58857.233862509376,215.48924167291884,601,1720873800000,58857.233862509376,TP,1,32.323386250937624,5.869561693125469,26.453824557812155,323.2338625093762,0.0
8,TL,True,True,607,1720884600000,58787.01,58662.00569644738,59099.520758881576,208.34050592104668,608,1720886400000,58662.00569644738,SL,1,-12.500430355262507,5.8724507848223695,-18.37288114008488,125.00430355262506,0.0
9,TL,True,True,621,1720909800000,58406.39,58259.37546594355,58773.92633514113,245.024223427418,621,1720909800000,58773.92633514113,TP,0,36.753633514112884,2.9203195,33.83331401411289,367.5363351411288,
10,TL,True,True,653,1720967400000,59514.01,59342.547141476505,59942.66714630874,285.7714308724903,653,1720967400000,59942.66714630874,TP,0,42.865714630873846,2.9757005000000003,39.890014130873844,428.65714630873845,
11,TL,True,True,665,1720989000000,59994.01,59860.82721103235,60326.96697241912,221.9713149460797,665,1720989000000,60326.96697241912,TP,0,33.2956972419117,2.9997005000000003,30.295996741911697,332.95697241911694,
12,TL,True,True,666,1720990800000,60084.0,59918.88741024433,60496.78147438918,275.1876495927883,666,1720990800000,60496.78147438918,TP,0,41.278147438917955,3.0042000000000004,38.27394743891796,412.7814743891795,
13,TL,True,True,667,1720992600000,60749.99,60562.57916665544,61218.51708336138,312.3513889075894,667,1720992600000,61218.51708336138,TP,0,46.85270833613831,3.0374995,43.81520883613831,468.5270833613831,
14,TL,True,True,670,1720998000000,60861.4,60663.94158496429,61355.04603758927,329.0973583928475,671,1720999800000,60861.4,BE,1,0.0,6.08614,-6.08614,0.0,0.0
15,TL,True,True,673,1721003400000,60970.0,60764.16826026478,61484.579349338055,343.0528995587047,674,1721005200000,61484.579349338055,TP,1,51.45793493380552,6.1227289674669025,45.33520596633861,514.5793493380552,0.0
16,TL,True,True,676,1721008800000,61389.99,61149.32685561287,61991.64786096782,401.1052406452164,676,1721008800000,61991.64786096782,TP,0,60.16578609678254,3.0694995,57.09628659678254,601.6578609678254,
17,TL,True,True,701,1721053800000,62864.0,62662.66933196003,63367.32667009992,335.55111339995074,704,1721059200000,62864.0,BE,3,0.0,6.2864,-6.2864,0.0,0.0
18,TL,True,True,705,1721061000000,63222.87,63010.85882580463,63752.89793548844,353.35195699229473,707,1721064600000,63222.87,BE,2,0.0,6.322287,-6.322287,0.0,0.0
19,TL,True,True,709,1721068200000,63442.13,63223.31222573422,63989.17443566444,364.696290442965,711,1721071800000,63223.31222573422,SL,2,-21.8817774265779,6.333272111286711,-28.215049537864612,218.817774265779,0.0
20,TL,True,True,716,1721080800000,63532.44,63294.83148948191,64126.46127629522,396.0141841968117,716,1721080800000,64126.46127629522,TP,0,59.402127629521424,3.1766220000000005,56.22550562952142,594.0212762952142,
21,TL,True,True,742,1721127600000,63443.55,63176.88220504805,64110.21948737989,444.446324919921,742,1721127600000,63176.88220504805,SL,0,-26.66677949519508,3.1721775,-29.83895699519508,266.6677949519508,
